rank	score	gene_symbol	gene_identifier
1	0.95	MECP2	ENSG00000169057
2	0.92	UBE3A	ENSG00000114062
3	0.89	SYNGAP1	ENSG00000197283
4	0.87	CDKL5	ENSG00000008086
5	0.85	FOXG1	ENSG00000176165
6	0.83	ARID1B	ENSG00000049618
7	0.81	KDM5C	ENSG00000126012
8	0.79	STXBP1	ENSG00000136854
9	0.77	KCNQ2	ENSG00000075043
10	0.76	GRIN2B	ENSG00000273079
11	0.74	CACNA1A	ENSG00000141837
12	0.72	EP300	ENSG00000100393
13	0.71	NRXN1	ENSG00000179915
14	0.69	ATRX	ENSG00000085224
15	0.67	TSC2	ENSG00000103197
16	0.66	CNKSR2	ENSG00000149970
17	0.64	KDM6A	ENSG00000147050
18	0.62	SHANK3	ENSG00000251322
19	0.61	CHD7	ENSG00000171316
20	0.59	DMD	ENSG00000198947
21	0.58	ARID1A	ENSG00000117713
22	0.56	PTEN	ENSG00000171862
23	0.55	ARID2	ENSG00000189079
24	0.54	PIK3CA	ENSG00000121879
25	0.52	SETD2	ENSG00000181555
26	0.51	SCN2A	ENSG00000136531
27	0.49	TBP	ENSG00000112592
28	0.48	ATM	ENSG00000149311
29	0.46	CHD8	ENSG00000100888
30	0.45	ADNP	ENSG00000101126
