rank	score	gene_symbol	gene_identifier
1	0.038	INPP5E	ENSG00000148384
2	0.0348	KIF7	ENSG00000166813
3	0.033	HOXD13	ENSG00000128714
4	0.0251	DMP1	ENSG00000152592
5	0.0234	PTK7	ENSG00000112655
6	0.0173	FGFR1	ENSG00000077782
7	0.0161	ARL6	ENSG00000113966
7	0.0161	BBS1	ENSG00000174483
7	0.0161	CCDC28B	ENSG00000160050
7	0.0161	CTD-3074O7.11	ENSG00000256349
11	0.0157	TGFB1	ENSG00000105329
12	0.0154	IBSP	ENSG00000029559
13	0.0147	BBS9	ENSG00000122507
14	0.0144	BBS10	ENSG00000179941
15	0.0142	LZTFL1	ENSG00000163818
16	0.0135	BMP7	ENSG00000101144
17	0.0128	SLC39A13	ENSG00000165915
18	0.0124	SPRY4	ENSG00000187678
19	0.0123	FANCI	ENSG00000140525
20	0.012	CTSK	ENSG00000143387
21	0.0119	SP6	ENSG00000189120
22	0.0114	IFT172	ENSG00000138002
22	0.0114	CRABP2	ENSG00000143320
22	0.0114	TBX2	ENSG00000121068
22	0.0114	TFAP2B	ENSG00000008196
22	0.0114	ANTXR1	ENSG00000169604
27	0.0113	ALMS1	ENSG00000116127
28	0.0111	CFAP418	ENSG00000156172
29	0.0109	MSX2	ENSG00000120149
30	0.0107	NMNAT1	ENSG00000173614
31	0.0106	SPRY2	ENSG00000136158
32	0.0102	MOCS2	ENSG00000164172
33	0.0098	BBS2	ENSG00000125124
34	0.0097	CDO1	ENSG00000129596
34	0.0097	RRM2B	ENSG00000048392
36	0.0096	LTBP3	ENSG00000168056
37	0.0095	MMP14	ENSG00000157227
38	0.0094	MERTK	ENSG00000153208
38	0.0094	DYM	ENSG00000141627
40	0.0092	APOE	ENSG00000130203
41	0.0091	LEPR	ENSG00000116678
42	0.009	NPR2	ENSG00000159899
42	0.009	ESR1	ENSG00000091831
44	0.0089	ACTN4	ENSG00000130402
45	0.0086	BCL2	ENSG00000171791
46	0.0084	COL4A3	ENSG00000169031
46	0.0084	BBS12	ENSG00000181004
46	0.0084	MOCOS	ENSG00000075643
46	0.0084	SDCCAG8	ENSG00000054282
50	0.0083	COL4A4	ENSG00000081052
51	0.0081	GLIS2	ENSG00000126603
51	0.0081	TUB	ENSG00000166402
51	0.0081	PRKCQ	ENSG00000065675
51	0.0081	GPC3	ENSG00000147257
55	0.008	CRH	ENSG00000147571
55	0.008	MPV17	ENSG00000115204
57	0.0078	CD151	ENSG00000177697
57	0.0078	IFT27	ENSG00000100360
57	0.0078	UMOD	ENSG00000169344
60	0.0077	CLCN5	ENSG00000171365
60	0.0077	MKKS	ENSG00000125863
60	0.0077	FGFR3	ENSG00000068078
60	0.0077	FAM20C	ENSG00000177706
60	0.0077	HBS1L	ENSG00000112339
65	0.0076	XDH	ENSG00000158125
66	0.0075	SLC12A1	ENSG00000074803
66	0.0075	TMEM216	ENSG00000187049
66	0.0075	WDR11	ENSG00000120008
66	0.0075	MAGI2	ENSG00000187391
66	0.0075	CEP290	ENSG00000198707
66	0.0075	TMEM67	ENSG00000164953
72	0.0074	RPL24	ENSG00000114391
72	0.0074	RAI1	ENSG00000108557
72	0.0074	LEP	ENSG00000174697
72	0.0074	ZIC3	ENSG00000156925
72	0.0074	CD2AP	ENSG00000198087
77	0.0073	C3orf38	ENSG00000179021
77	0.0073	PIK3C2A	ENSG00000011405
79	0.0072	FGFR2	ENSG00000066468
79	0.0072	OFD1	ENSG00000046651
79	0.0072	PAX2	ENSG00000075891
79	0.0072	BBS7	ENSG00000138686
83	0.0071	ARHGDIA	ENSG00000141522
83	0.0071	NOS3	ENSG00000164867
85	0.007	GNAS	ENSG00000087460
85	0.007	NPHP3	ENSG00000113971
85	0.007	NPHS2	ENSG00000116218
85	0.007	CSGALNACT1	ENSG00000147408
85	0.007	CYP19A1	ENSG00000137869
85	0.007	B9D2	ENSG00000123810
91	0.0069	PAX9	ENSG00000198807
91	0.0069	CREBBP	ENSG00000005339
91	0.0069	NOTUM	ENSG00000185269
91	0.0069	CC2D2A	ENSG00000048342
95	0.0068	INVS	ENSG00000119509
95	0.0068	SH2B1	ENSG00000178188
95	0.0068	PDGFB	ENSG00000100311
98	0.0067	TGFB2	ENSG00000092969
98	0.0067	SIRT6	ENSG00000077463
98	0.0067	LAMB2	ENSG00000172037
101	0.0066	FOXN3	ENSG00000053254
101	0.0066	BBS4	ENSG00000140463
101	0.0066	CPLANE1	ENSG00000197603
101	0.0066	DYNC2H1	ENSG00000187240
105	0.0065	PTGS2	ENSG00000073756
105	0.0065	CTNNB1	ENSG00000168036
105	0.0065	EP300	ENSG00000100393
105	0.0065	RPGRIP1L	ENSG00000103494
105	0.0065	LDLR	ENSG00000130164
105	0.0065	EDNRA	ENSG00000151617
105	0.0065	CCP110	ENSG00000103540
112	0.0064	AQP11	ENSG00000178301
112	0.0064	GLI3	ENSG00000106571
112	0.0064	TNS1	ENSG00000079308
115	0.0063	CCND1	ENSG00000110092
115	0.0063	FAT1	ENSG00000083857
115	0.0063	ZMPSTE24	ENSG00000084073
115	0.0063	IFT88	ENSG00000032742
119	0.0062	IGF2	ENSG00000167244
119	0.0062	GNE	ENSG00000159921
119	0.0062	RBBP4	ENSG00000162521
119	0.0062	MTF2	ENSG00000143033
119	0.0062	TTC8	ENSG00000165533
119	0.0062	SMOC1	ENSG00000198732
125	0.0061	BBIP1	ENSG00000214413
125	0.0061	LAMA5	ENSG00000130702
125	0.0061	DDX59	ENSG00000118197
128	0.006	HSF2BP	ENSG00000160207
128	0.006	TMEM231	ENSG00000205084
128	0.006	WWTR1	ENSG00000018408
128	0.006	IL6	ENSG00000136244
132	0.0059	NSD2	ENSG00000109685
132	0.0059	AMELX	ENSG00000125363
132	0.0059	AMELY	ENSG00000099721
132	0.0059	BMP4	ENSG00000125378
132	0.0059	PAPSS2	ENSG00000198682
132	0.0059	MKS1	ENSG00000011143
132	0.0059	WDR19	ENSG00000157796
132	0.0059	LMNA	ENSG00000160789
132	0.0059	BBS5	ENSG00000163093
132	0.0059	CEP19	ENSG00000174007
132	0.0059	IFT74	ENSG00000096872
132	0.0059	NPHP1	ENSG00000144061
132	0.0059	SCAPER	ENSG00000140386
132	0.0059	SCLT1	ENSG00000151466
132	0.0059	TRIM32	ENSG00000119401
132	0.0059	WDPCP	ENSG00000143951
148	0.0058	HOXC10	ENSG00000180818
148	0.0058	KCNJ2	ENSG00000123700
148	0.0058	KCNJ5	ENSG00000120457
148	0.0058	CYP51A1	ENSG00000001630
152	0.0057	INSR	ENSG00000171105
152	0.0057	SC5D	ENSG00000109929
152	0.0057	GRHPR	ENSG00000137106
152	0.0057	CDKN1A	ENSG00000124762
152	0.0057	IFT140	ENSG00000187535
152	0.0057	PLOD1	ENSG00000083444
152	0.0057	TCTN3	ENSG00000119977
159	0.0055	MBD6	ENSG00000166987
159	0.0055	GLCE	ENSG00000138604
159	0.0055	TNN	ENSG00000120332
159	0.0055	POMC	ENSG00000115138
159	0.0055	CCNI	ENSG00000118816
159	0.0055	PCNT	ENSG00000160299
159	0.0055	LAMC1	ENSG00000135862
166	0.0054	FAM20A	ENSG00000108950
166	0.0054	TRAF3IP1	ENSG00000204104
166	0.0054	MEGF8	ENSG00000105429
166	0.0054	PTPRC	ENSG00000081237
166	0.0054	PRMT7	ENSG00000132600
166	0.0054	HS2ST1	ENSG00000153936
166	0.0054	OCRL	ENSG00000122126
166	0.0054	IRS2	ENSG00000185950
174	0.0053	ROR2	ENSG00000169071
174	0.0053	RAB23	ENSG00000112210
174	0.0053	FIGN	ENSG00000182263
174	0.0053	PCGF2	ENSG00000056661
174	0.0053	AGXT	ENSG00000172482
174	0.0053	PCCB	ENSG00000114054
174	0.0053	ALKBH1	ENSG00000100601
174	0.0053	CHSY1	ENSG00000131873
182	0.0052	TMCO1	ENSG00000143183
182	0.0052	RSPO2	ENSG00000147655
182	0.0052	PTCH1	ENSG00000185920
182	0.0052	ERCC8	ENSG00000049167
182	0.0052	EFEMP1	ENSG00000115380
182	0.0052	C2CD3	ENSG00000168014
182	0.0052	GJA1	ENSG00000152661
189	0.0051	PRPH2	ENSG00000112619
189	0.0051	TRIO	ENSG00000038382
189	0.0051	POU3F3	ENSG00000198914
189	0.0051	FREM2	ENSG00000150893
189	0.0051	DYNC2I2	ENSG00000119333
194	0.005	TBC1D32	ENSG00000146350
194	0.005	POGZ	ENSG00000143442
194	0.005	ZEB1	ENSG00000148516
194	0.005	FAS	ENSG00000026103
194	0.005	SHANK3	ENSG00000251322
194	0.005	LRP5	ENSG00000162337
194	0.005	LRP5L	ENSG00000100068
201	0.0049	NEK1	ENSG00000137601
201	0.0049	NALCN	ENSG00000102452
201	0.0049	RDH11	ENSG00000072042
201	0.0049	SMG9	ENSG00000105771
201	0.0049	DHCR7	ENSG00000172893
201	0.0049	ERCC6	ENSG00000225830
201	0.0049	ERCC6-PGBD3	ENSG00000258838
201	0.0049	TXNIP	ENSG00000117289
201	0.0049	DZIP1L	ENSG00000158163
201	0.0049	TRAPPC9	ENSG00000167632
201	0.0049	TULP1	ENSG00000112041
212	0.0048	CEP120	ENSG00000168944
212	0.0048	DYNC2I1	ENSG00000126870
212	0.0048	DYNC2LI1	ENSG00000138036
212	0.0048	IFT80	ENSG00000068885
212	0.0048	KIAA0753	ENSG00000198920
212	0.0048	RP11-432B6.3	ENSG00000248710
212	0.0048	TTC21B	ENSG00000123607
212	0.0048	GHR	ENSG00000112964
212	0.0048	ENAM	ENSG00000132464
212	0.0048	FRAS1	ENSG00000138759
212	0.0048	HMOX1	ENSG00000100292
212	0.0048	TMEM218	ENSG00000150433
224	0.0047	COL4A1	ENSG00000187498
224	0.0047	SIM1	ENSG00000112246
224	0.0047	MECOM	ENSG00000085276
224	0.0047	PITX2	ENSG00000164093
228	0.0046	BLM	ENSG00000197299
228	0.0046	TMEM161B	ENSG00000164180
228	0.0046	ZEB2	ENSG00000169554
228	0.0046	OTUD5	ENSG00000068308
228	0.0046	DKK1	ENSG00000107984
228	0.0046	WDR35	ENSG00000118965
234	0.0045	CPLANE2	ENSG00000132881
234	0.0045	TMEM107	ENSG00000179029
234	0.0045	WT1	ENSG00000184937
234	0.0045	ZBTB16	ENSG00000109906
234	0.0045	MT-CO1	ENSG00000198804
234	0.0045	MT-CO2	ENSG00000198712
234	0.0045	MT-CO3	ENSG00000198938
234	0.0045	MT-ND1	ENSG00000198888
234	0.0045	MT-ND4	ENSG00000198886
234	0.0045	MT-ND5	ENSG00000198786
234	0.0045	MT-ND6	ENSG00000198695
234	0.0045	MARK2	ENSG00000072518
234	0.0045	ITGA11	ENSG00000137809
234	0.0045	EHD1	ENSG00000110047
234	0.0045	RBM22	ENSG00000086589
234	0.0045	NFIC	ENSG00000141905
234	0.0045	FGF9	ENSG00000102678
251	0.0044	PORCN	ENSG00000102312
251	0.0044	ACTB	ENSG00000075624
251	0.0044	ACTG1	ENSG00000184009
251	0.0044	DVL1	ENSG00000107404
251	0.0044	POSTN	ENSG00000133110
251	0.0044	RUNX2	ENSG00000124813
251	0.0044	HDC	ENSG00000140287
251	0.0044	ATR	ENSG00000175054
251	0.0044	LGMN	ENSG00000100600
251	0.0044	TBX3	ENSG00000135111
251	0.0044	BAZ1B	ENSG00000009954
251	0.0044	ARVCF	ENSG00000099889
251	0.0044	COMT	ENSG00000093010
251	0.0044	GP1BB	ENSG00000203618
251	0.0044	HIRA	ENSG00000100084
251	0.0044	JMJD1C	ENSG00000171988
251	0.0044	RREB1	ENSG00000124782
251	0.0044	SEC24C	ENSG00000176986
251	0.0044	TBX1	ENSG00000184058
251	0.0044	UFD1	ENSG00000070010
251	0.0044	IFT25	ENSG00000081870
251	0.0044	APRT	ENSG00000198931
251	0.0044	B9D1	ENSG00000108641
251	0.0044	CSPP1	ENSG00000104218
251	0.0044	RPGRIP1	ENSG00000092200
251	0.0044	TCTN1	ENSG00000204852
251	0.0044	TCTN2	ENSG00000168778
251	0.0044	TMEM237	ENSG00000155755
251	0.0044	TXNDC15	ENSG00000113621
251	0.0044	RPL10	ENSG00000147403
251	0.0044	EN1	ENSG00000163064
251	0.0044	ANKRD26	ENSG00000107890
251	0.0044	LRP4	ENSG00000134569
284	0.0043	DSPP	ENSG00000152591
284	0.0043	CWC22	ENSG00000163510
284	0.0043	HNRNPK	ENSG00000165119
284	0.0043	CENPJ	ENSG00000151849
284	0.0043	LRP6	ENSG00000070018
284	0.0043	SETD5	ENSG00000168137
284	0.0043	TOM1L2	ENSG00000175662
284	0.0043	CERKL	ENSG00000188452
284	0.0043	PKD2	ENSG00000118762
284	0.0043	PDZK1	ENSG00000174827
284	0.0043	PDZK1P1	ENSG00000215860
295	0.0042	GLI2	ENSG00000074047
295	0.0042	BCL7B	ENSG00000106635
295	0.0042	BUD23	ENSG00000071462
295	0.0042	CLIP2	ENSG00000106665
295	0.0042	DNAJC30	ENSG00000176410
295	0.0042	EIF4H	ENSG00000106682
295	0.0042	ELN	ENSG00000049540
295	0.0042	FKBP6	ENSG00000077800
295	0.0042	GTF2I	ENSG00000077809
295	0.0042	GTF2IRD1	ENSG00000006704
295	0.0042	GTF2IRD2	ENSG00000196275
295	0.0042	LIMK1	ENSG00000106683
295	0.0042	METTL27	ENSG00000165171
295	0.0042	MLXIPL	ENSG00000009950
295	0.0042	NCF1	ENSG00000158517
295	0.0042	RFC2	ENSG00000049541
295	0.0042	STX1A	ENSG00000106089
295	0.0042	TBL2	ENSG00000106638
295	0.0042	TMEM270	ENSG00000175877
295	0.0042	VPS37D	ENSG00000176428
295	0.0042	KIAA0586	ENSG00000100578
295	0.0042	MYT1L	ENSG00000186487
295	0.0042	CD96	ENSG00000153283
295	0.0042	OAT	ENSG00000065154
295	0.0042	MIA3	ENSG00000154305
295	0.0042	MYO1E	ENSG00000157483
295	0.0042	QSOX1	ENSG00000116260
295	0.0042	TENT5A	ENSG00000112773
295	0.0042	WNT10A	ENSG00000135925
324	0.0041	PCARE	ENSG00000179270
324	0.0041	HPSE2	ENSG00000172987
324	0.0041	NR2E1	ENSG00000112333
324	0.0041	CA2	ENSG00000104267
324	0.0041	CILK1	ENSG00000112144
324	0.0041	ZC3H11A	ENSG00000058673
324	0.0041	ZC3H11B	ENSG00000215817
324	0.0041	CCL1	ENSG00000108702
324	0.0041	CCL13	ENSG00000181374
324	0.0041	CCL2	ENSG00000108691
324	0.0041	TBR1	ENSG00000136535
324	0.0041	DPH1	ENSG00000108963
324	0.0041	PRLH	ENSG00000071677
324	0.0041	HNRNPH1	ENSG00000169045
324	0.0041	ABCC8	ENSG00000006071
324	0.0041	APPL1	ENSG00000157500
324	0.0041	BLK	ENSG00000136573
324	0.0041	CEL	ENSG00000170835
324	0.0041	GCK	ENSG00000106633
324	0.0041	HNF1A	ENSG00000135100
324	0.0041	HNF4A	ENSG00000101076
324	0.0041	INS	ENSG00000254647
324	0.0041	KCNJ11	ENSG00000187486
324	0.0041	KLF11	ENSG00000172059
324	0.0041	NEUROD1	ENSG00000162992
324	0.0041	PAX4	ENSG00000106331
324	0.0041	PDX1	ENSG00000139515
324	0.0041	FGF10	ENSG00000070193
352	0.004	SKI	ENSG00000157933
352	0.004	HNF1B	ENSG00000108753
352	0.004	CAMK2B	ENSG00000058404
352	0.004	TYRO3	ENSG00000092445
352	0.004	ITGB6	ENSG00000115221
352	0.004	STAT5B	ENSG00000173757
352	0.004	MFSD2A	ENSG00000168389
352	0.004	VPS25	ENSG00000131475
352	0.004	SCUBE3	ENSG00000146197
352	0.004	WDR45	ENSG00000196998
352	0.004	AMMECR1	ENSG00000101935
352	0.004	COQ2	ENSG00000173085
352	0.004	MED12	ENSG00000184634
352	0.004	WNT5A	ENSG00000114251
352	0.004	PPP1R3A	ENSG00000154415
352	0.004	BRD2	ENSG00000204256
352	0.004	TYK2	ENSG00000105397
352	0.004	SUFU	ENSG00000107882
352	0.004	PKD1	ENSG00000008710
352	0.004	CBS	ENSG00000160200
372	0.0039	FSHR	ENSG00000170820
372	0.0039	CEACAM1	ENSG00000079385
372	0.0039	CEACAM5	ENSG00000105388
372	0.0039	CEACAM6	ENSG00000086548
372	0.0039	PSG1	ENSG00000231924
372	0.0039	PSG3	ENSG00000221826
372	0.0039	PSG4	ENSG00000243137
372	0.0039	PSG6	ENSG00000170848
372	0.0039	PSG7	ENSG00000221878
372	0.0039	PSG8	ENSG00000124467
372	0.0039	PSG9	ENSG00000183668
372	0.0039	ADCY3	ENSG00000138031
372	0.0039	SMS	ENSG00000102172
372	0.0039	COG6	ENSG00000133103
372	0.0039	CES1	ENSG00000198848
372	0.0039	CSPG4	ENSG00000173546
372	0.0039	FGF20	ENSG00000078579
372	0.0039	GDF5	ENSG00000125965
372	0.0039	CPE	ENSG00000109472
372	0.0039	SPG11	ENSG00000104133
372	0.0039	PLAA	ENSG00000137055
372	0.0039	ERCC4	ENSG00000175595
372	0.0039	C1QTNF5	ENSG00000223953
372	0.0039	FUZ	ENSG00000010361
372	0.0039	GPC4	ENSG00000076716
372	0.0039	LRP2	ENSG00000081479
398	0.0038	FBN1	ENSG00000166147
398	0.0038	NAA10	ENSG00000102030
398	0.0038	IL11RA	ENSG00000137070
398	0.0038	GNPTAB	ENSG00000111670
398	0.0038	PDE6D	ENSG00000156973
398	0.0038	CLDN19	ENSG00000164007
398	0.0038	CTNS	ENSG00000040531
398	0.0038	MCOLN1	ENSG00000090674
398	0.0038	ATP6V1E1	ENSG00000131100
398	0.0038	ZC3H4	ENSG00000130749
398	0.0038	WNT4	ENSG00000162552
398	0.0038	NEDD4L	ENSG00000049759
398	0.0038	ABL1	ENSG00000097007
398	0.0038	LMBR1	ENSG00000105983
398	0.0038	TERF2IP	ENSG00000166848
398	0.0038	MORC2	ENSG00000133422
398	0.0038	EDAR	ENSG00000135960
398	0.0038	RBM10	ENSG00000182872
398	0.0038	TFAP2A	ENSG00000137203
398	0.0038	ETV5	ENSG00000244405
418	0.0037	PNLIPRP1	ENSG00000187021
418	0.0037	COX7B	ENSG00000131174
418	0.0037	HCCS	ENSG00000004961
418	0.0037	NDUFB11	ENSG00000147123
418	0.0037	C2CD5	ENSG00000111731
418	0.0037	TMEM138	ENSG00000149483
418	0.0037	ZNF423	ENSG00000102935
418	0.0037	INTU	ENSG00000164066
418	0.0037	EHMT1	ENSG00000181090
418	0.0037	PMM2	ENSG00000140650
418	0.0037	SNX14	ENSG00000135317
418	0.0037	MECP2	ENSG00000169057
418	0.0037	OTP	ENSG00000171540
418	0.0037	SMARCAL1	ENSG00000138375
418	0.0037	CDK20	ENSG00000156345
418	0.0037	DDR2	ENSG00000162733
418	0.0037	PNPLA6	ENSG00000032444
418	0.0037	SCNM1	ENSG00000163156
418	0.0037	MAP3K1	ENSG00000095015
418	0.0037	APBB2	ENSG00000163697
418	0.0037	IFT43	ENSG00000119650
439	0.0036	FREM1	ENSG00000164946
439	0.0036	RGL1	ENSG00000143344
439	0.0036	PRKACB	ENSG00000142875
439	0.0036	SMO	ENSG00000128602
439	0.0036	TLR5	ENSG00000187554
439	0.0036	C1GALT1	ENSG00000106392
439	0.0036	AMER1	ENSG00000184675
439	0.0036	PDE6B	ENSG00000133256
439	0.0036	MC4R	ENSG00000166603
439	0.0036	RP11-287D1.3	ENSG00000264324
439	0.0036	SLC4A5	ENSG00000188687
439	0.0036	BCL11B	ENSG00000127152
439	0.0036	SPEN	ENSG00000065526
439	0.0036	PITX1	ENSG00000069011
439	0.0036	IFT57	ENSG00000114446
