rank	score	gene_symbol	gene_identifier
1	0.0525	CHKA	ENSG00000110721
1	0.0525	DPAGT1	ENSG00000172269
1	0.0525	FGFR3	ENSG00000068078
1	0.0525	GRID2	ENSG00000152208
1	0.0525	PARL	ENSG00000175193
1	0.0525	SERAC1	ENSG00000122335
7	0.0519	TBCD	ENSG00000141556
8	0.0409	REM2	ENSG00000139890
9	0.0406	GRIK2	ENSG00000164418
10	0.0367	OPN4	ENSG00000122375
11	0.0361	PAX1	ENSG00000125813
12	0.036	PLP1	ENSG00000123560
13	0.0359	EGR3	ENSG00000179388
13	0.0359	MECOM	ENSG00000085276
15	0.0346	AFG2A	ENSG00000145375
16	0.0341	TRAPPC11	ENSG00000168538
17	0.034	EXOSC5	ENSG00000077348
18	0.0337	POU4F2	ENSG00000151615
19	0.0331	NKX6-2	ENSG00000148826
20	0.0326	AP3B1	ENSG00000132842
21	0.0309	RUNX3	ENSG00000020633
22	0.0303	NFIX	ENSG00000008441
23	0.0295	UNCX	ENSG00000164853
24	0.0291	COL1A2	ENSG00000164692
25	0.029	TUBB4A	ENSG00000104833
25	0.029	PI4KA	ENSG00000241973
27	0.0288	GJC2	ENSG00000198835
28	0.0284	KY	ENSG00000174611
29	0.0275	TENT5A	ENSG00000112773
30	0.0273	AARS1	ENSG00000090861
31	0.027	AKR1C1	ENSG00000187134
31	0.027	AKR1C2	ENSG00000151632
31	0.027	AKR1C3	ENSG00000196139
31	0.027	AKR1C4	ENSG00000198610
35	0.0268	MPZ	ENSG00000158887
36	0.0264	COL1A1	ENSG00000108821
37	0.0261	LBR	ENSG00000143815
37	0.0261	PMP22	ENSG00000109099
39	0.026	ACP2	ENSG00000134575
40	0.0258	PYCR2	ENSG00000143811
41	0.0257	ALS2	ENSG00000003393
41	0.0257	FUS	ENSG00000089280
41	0.0257	SIGMAR1	ENSG00000147955
41	0.0257	SPG11	ENSG00000104133
41	0.0257	SPTLC1	ENSG00000090054
46	0.0253	FLNB	ENSG00000136068
47	0.0243	NMNAT1	ENSG00000173614
48	0.0242	SPG7	ENSG00000197912
49	0.0232	FBXL4	ENSG00000112234
50	0.023	LASP1	ENSG00000002834
51	0.0226	BCAP31	ENSG00000185825
52	0.0225	GLUL	ENSG00000135821
53	0.0222	LMNA	ENSG00000160789
54	0.0221	HYCC1	ENSG00000122591
55	0.0215	GDAP1	ENSG00000104381
56	0.0214	HTT	ENSG00000197386
57	0.0208	CIR1	ENSG00000138433
58	0.0205	PURA	ENSG00000185129
59	0.0202	IFT56	ENSG00000105948
60	0.0201	ATP6V1A	ENSG00000114573
60	0.0201	PARS2	ENSG00000162396
60	0.0201	SPTAN1	ENSG00000197694
63	0.0198	ADSL	ENSG00000239900
63	0.0198	ENPP1	ENSG00000197594
65	0.0197	TRPS1	ENSG00000104447
66	0.0192	VEGFA	ENSG00000112715
66	0.0192	KAT14	ENSG00000149474
68	0.0191	STXBP1	ENSG00000136854
69	0.0189	PAH	ENSG00000171759
70	0.0187	DVL2	ENSG00000004975
71	0.0185	AHCY	ENSG00000101444
71	0.0185	ASAH1	ENSG00000104763
71	0.0185	CLDN11	ENSG00000013297
74	0.0184	SLC6A8	ENSG00000130821
75	0.0182	POLR3B	ENSG00000013503
76	0.018	POLR3A	ENSG00000148606
77	0.0179	CREBBP	ENSG00000005339
78	0.0178	MAP3K4	ENSG00000085511
78	0.0178	ZMPSTE24	ENSG00000084073
80	0.0167	SYNE1	ENSG00000131018
80	0.0167	DNM1L	ENSG00000087470
82	0.0164	FKBP8	ENSG00000105701
82	0.0164	BRD2	ENSG00000204256
84	0.0162	CHTOP	ENSG00000160679
85	0.0158	CLCN3	ENSG00000109572
86	0.0157	ZIC3	ENSG00000156925
86	0.0157	KL	ENSG00000133116
86	0.0157	SOX10	ENSG00000100146
89	0.0155	ALG9	ENSG00000086848
90	0.0151	SIK3	ENSG00000160584
90	0.0151	CNP	ENSG00000173786
92	0.015	NDUFAF4	ENSG00000123545
93	0.0149	CLP1	ENSG00000172409
94	0.0147	CYTH1	ENSG00000108669
94	0.0147	MAG	ENSG00000105695
94	0.0147	DHX35	ENSG00000101452
94	0.0147	SSR2	ENSG00000163479
94	0.0147	FUCA1	ENSG00000179163
99	0.0146	PPM1L	ENSG00000163590
100	0.0145	BCAS1	ENSG00000064787
101	0.0144	FOXRED1	ENSG00000110074
101	0.0144	MT-ND1	ENSG00000198888
101	0.0144	MT-ND2	ENSG00000198763
101	0.0144	MT-ND3	ENSG00000198840
101	0.0144	NDUFA1	ENSG00000125356
101	0.0144	NDUFA11	ENSG00000174886
101	0.0144	NDUFA6	ENSG00000184983
101	0.0144	NDUFAF1	ENSG00000137806
101	0.0144	NDUFAF2	ENSG00000164182
101	0.0144	NDUFAF3	ENSG00000178057
101	0.0144	NDUFAF5	ENSG00000101247
101	0.0144	NDUFAF8	ENSG00000224877
101	0.0144	NDUFB10	ENSG00000140990
101	0.0144	NDUFB11	ENSG00000147123
101	0.0144	NDUFB3	ENSG00000119013
101	0.0144	NDUFB9	ENSG00000147684
101	0.0144	NDUFS1	ENSG00000023228
101	0.0144	NDUFS2	ENSG00000158864
101	0.0144	NDUFS3	ENSG00000213619
101	0.0144	NDUFS4	ENSG00000164258
101	0.0144	NDUFS6	ENSG00000145494
101	0.0144	NDUFS7	ENSG00000115286
101	0.0144	NDUFS8	ENSG00000110717
101	0.0144	NDUFV1	ENSG00000167792
101	0.0144	NDUFV2	ENSG00000178127
101	0.0144	NUBPL	ENSG00000151413
101	0.0144	TIMMDC1	ENSG00000113845
101	0.0144	TMEM126B	ENSG00000171204
129	0.0143	GRM1	ENSG00000152822
130	0.0141	GAN	ENSG00000261609
130	0.0141	YIF1B	ENSG00000167645
132	0.014	LRPPRC	ENSG00000138095
132	0.014	TRAF4	ENSG00000076604
134	0.0139	SNIP1	ENSG00000163877
135	0.0138	DDOST	ENSG00000244038
135	0.0138	TFAP2A	ENSG00000137203
137	0.0133	NADK2	ENSG00000152620
138	0.0132	COG8	ENSG00000213380
138	0.0132	SLC39A14	ENSG00000104635
140	0.013	LAMA2	ENSG00000196569
141	0.0129	CCDC39	ENSG00000145075
142	0.0122	MTHFS	ENSG00000136371
142	0.0122	ACTA1	ENSG00000143632
144	0.012	RNF13	ENSG00000082996
145	0.0119	EPRS1	ENSG00000136628
145	0.0119	PNPT1	ENSG00000138035
147	0.0116	MDH2	ENSG00000146701
147	0.0116	FOXN3	ENSG00000053254
