rank	score	gene_symbol	gene_identifier
1	0.0525	CLCN1	ENSG00000188037
1	0.0525	DSCAM	ENSG00000171587
1	0.0525	GLRB	ENSG00000109738
1	0.0525	REEP1	ENSG00000068615
1	0.0525	UBAP1	ENSG00000165006
6	0.0479	PMP22	ENSG00000109099
6	0.0479	GLRA1	ENSG00000145888
8	0.0458	SLC32A1	ENSG00000101438
9	0.0365	SLC6A5	ENSG00000165970
10	0.0361	HSPD1	ENSG00000144381
11	0.0342	CPT1C	ENSG00000169169
12	0.0337	ANKFY1	ENSG00000185722
13	0.0324	GBE1	ENSG00000114480
14	0.0307	WNT1	ENSG00000125084
15	0.0298	DSTYK	ENSG00000133059
16	0.0288	DNAJC11	ENSG00000007923
17	0.0279	SLC33A1	ENSG00000169359
18	0.0274	NT5C2	ENSG00000076685
19	0.027	KPNA3	ENSG00000102753
20	0.0257	SPAST	ENSG00000021574
20	0.0257	ATL1	ENSG00000198513
20	0.0257	TARDBP	ENSG00000120948
23	0.0254	WASHC5	ENSG00000164961
24	0.0248	ARL6IP1	ENSG00000170540
24	0.0248	DDHD2	ENSG00000085788
26	0.0239	ASPA	ENSG00000108381
26	0.0239	ERLIN1	ENSG00000107566
28	0.0237	ATP5MC3	ENSG00000154518
29	0.0233	MYO5A	ENSG00000197535
30	0.0222	SLC12A6	ENSG00000140199
31	0.0213	MDGA2	ENSG00000139915
32	0.0212	RTN2	ENSG00000125744
33	0.021	BSCL2	ENSG00000168000
34	0.0207	CCT5	ENSG00000150753
35	0.0206	TMEM63C	ENSG00000165548
36	0.0204	CYP2U1	ENSG00000155016
37	0.0203	KIF1A	ENSG00000130294
38	0.0202	ZFYVE27	ENSG00000155256
39	0.0199	C19orf12	ENSG00000131943
40	0.0193	TECPR2	ENSG00000196663
41	0.0189	ARG1	ENSG00000118520
42	0.0181	PLP1	ENSG00000123560
43	0.018	SPART	ENSG00000133104
43	0.018	DDHD1	ENSG00000100523
45	0.017	NIPA1	ENSG00000170113
46	0.0169	B4GALNT1	ENSG00000135454
47	0.0163	ZFYVE26	ENSG00000072121
47	0.0163	CYP7B1	ENSG00000172817
47	0.0163	WDR26	ENSG00000162923
50	0.016	FUCA1	ENSG00000179163
51	0.0159	KIDINS220	ENSG00000134313
51	0.0159	SMN1	ENSG00000172062
51	0.0159	SMN2	ENSG00000205571
54	0.0158	IBA57	ENSG00000181873
54	0.0158	KCNQ1	ENSG00000053918
54	0.0158	ABCD1	ENSG00000101986
57	0.0153	ATAD3A	ENSG00000197785
58	0.0145	VAMP1	ENSG00000139190
59	0.0144	MFSD2A	ENSG00000168389
60	0.0142	REEP2	ENSG00000132563
