rank	score	gene_symbol	gene_identifier
1	0.0525	BUB1	ENSG00000169679
1	0.0525	EHMT1	ENSG00000181090
1	0.0525	IL1RAPL1	ENSG00000169306
1	0.0525	KMT2C	ENSG00000055609
1	0.0525	PIGQ	ENSG00000007541
1	0.0525	SMARCD1	ENSG00000066117
1	0.0525	TBX1	ENSG00000184058
8	0.023	GRIA3	ENSG00000125675
9	0.022	CDC42BPB	ENSG00000198752
9	0.022	MED25	ENSG00000104973
9	0.022	PIGL	ENSG00000108474
12	0.0217	ZEB2	ENSG00000169554
13	0.0216	HDAC8	ENSG00000147099
13	0.0216	LAS1L	ENSG00000001497
15	0.0148	AHDC1	ENSG00000126705
16	0.0144	TBL1XR1	ENSG00000177565
17	0.0134	FREM2	ENSG00000150893
18	0.0119	HTT	ENSG00000197386
18	0.0119	BMP5	ENSG00000112175
20	0.0113	NR2F1	ENSG00000175745
21	0.0104	COL1A1	ENSG00000108821
21	0.0104	EDARADD	ENSG00000186197
21	0.0104	GSDMA	ENSG00000167914
21	0.0104	KMT2A	ENSG00000118058
21	0.0104	MSX2	ENSG00000120149
26	0.0097	SIN3A	ENSG00000169375
27	0.0093	PIGB	ENSG00000069943
27	0.0093	BMP4	ENSG00000125378
29	0.0089	MAPRE2	ENSG00000166974
30	0.0083	CISD2	ENSG00000145354
30	0.0083	LMNA	ENSG00000160789
30	0.0083	PSTPIP2	ENSG00000152229
33	0.0082	TWIST1	ENSG00000122691
34	0.0078	BCR	ENSG00000186716
34	0.0078	CRKL	ENSG00000099942
34	0.0078	CUL4B	ENSG00000158290
34	0.0078	MAPK1	ENSG00000100030
34	0.0078	RAC1	ENSG00000136238
39	0.0076	FLG	ENSG00000143631
40	0.0075	COX7B	ENSG00000131174
40	0.0075	HCCS	ENSG00000004961
40	0.0075	NDUFB11	ENSG00000147123
43	0.0074	FOXP3	ENSG00000049768
44	0.0072	FGFR1	ENSG00000077782
45	0.0067	BCL2	ENSG00000171791
45	0.0067	C3orf38	ENSG00000179021
45	0.0067	CHUK	ENSG00000213341
45	0.0067	DSCAM	ENSG00000171587
45	0.0067	FOXH1	ENSG00000160973
45	0.0067	HIC1	ENSG00000177374
45	0.0067	HMGA2	ENSG00000149948
45	0.0067	IRF6	ENSG00000117595
45	0.0067	LAMA5	ENSG00000130702
45	0.0067	NCOA3	ENSG00000124151
45	0.0067	NDST1	ENSG00000070614
45	0.0067	PAX6	ENSG00000007372
45	0.0067	PRKRA	ENSG00000180228
45	0.0067	TCF15	ENSG00000125878
45	0.0067	TFAP2A	ENSG00000137203
45	0.0067	TWIST2	ENSG00000233608
45	0.0067	TWSG1	ENSG00000128791
45	0.0067	TYRP1	ENSG00000107165
45	0.0067	WNT5A	ENSG00000114251
64	0.0065	ATR	ENSG00000175054
64	0.0065	ATRIP	ENSG00000164053
64	0.0065	CENPE	ENSG00000138778
64	0.0065	CENPJ	ENSG00000151849
64	0.0065	CEP152	ENSG00000103995
64	0.0065	DNA2	ENSG00000138346
64	0.0065	NUP85	ENSG00000125450
64	0.0065	PCNT	ENSG00000160299
64	0.0065	PLK4	ENSG00000142731
64	0.0065	RBBP8	ENSG00000101773
64	0.0065	TRAIP	ENSG00000183763
75	0.0062	HMX1	ENSG00000215612
75	0.0062	ZIC3	ENSG00000156925
75	0.0062	CDH11	ENSG00000140937
75	0.0062	DPYD	ENSG00000188641
75	0.0062	EIF2S3	ENSG00000130741
75	0.0062	FGD1	ENSG00000102302
75	0.0062	PGAP3	ENSG00000161395
75	0.0062	PHF6	ENSG00000156531
75	0.0062	PIK3CA	ENSG00000121879
75	0.0062	RDH11	ENSG00000072042
75	0.0062	TPRKB	ENSG00000144034
75	0.0062	UGDH	ENSG00000109814
75	0.0062	VPS13B	ENSG00000132549
75	0.0062	VPS53	ENSG00000141252
75	0.0062	WARS1	ENSG00000140105
75	0.0062	WDR4	ENSG00000160193
91	0.006	SFN	ENSG00000175793
92	0.0056	ABCA12	ENSG00000144452
92	0.0056	CDO1	ENSG00000129596
92	0.0056	CHD7	ENSG00000171316
92	0.0056	COL4A2	ENSG00000134871
92	0.0056	DDR1	ENSG00000204580
92	0.0056	EGFR	ENSG00000146648
92	0.0056	EIF3C	ENSG00000184110
92	0.0056	EIF3CL	ENSG00000205609
92	0.0056	GNAS	ENSG00000087460
92	0.0056	JAK1	ENSG00000162434
92	0.0056	KIF1B	ENSG00000054523
92	0.0056	LRP6	ENSG00000070018
92	0.0056	SPTBN1	ENSG00000115306
92	0.0056	VPS25	ENSG00000131475
106	0.0051	ABHD5	ENSG00000011198
106	0.0051	PTPRF	ENSG00000142949
108	0.0047	EDN1	ENSG00000078401
109	0.0045	GLI3	ENSG00000106571
109	0.0045	KAT6B	ENSG00000156650
109	0.0045	KRAS	ENSG00000133703
109	0.0045	KRT10	ENSG00000186395
109	0.0045	LRBA	ENSG00000198589
109	0.0045	TBX15	ENSG00000092607
115	0.0044	EDNRA	ENSG00000151617
116	0.004	HOXA2	ENSG00000105996
116	0.004	EDIL3	ENSG00000164176
118	0.0039	PGAP1	ENSG00000197121
119	0.0038	PHIP	ENSG00000146247
119	0.0038	PLXNA1	ENSG00000114554
121	0.0037	COL3A1	ENSG00000168542
