rank	score	gene_symbol	gene_identifier
1	0.0101	TANGO2	ENSG00000183597
2	0.0055	HADHA	ENSG00000084754
3	0.0054	LPIN1	ENSG00000134324
3	0.0054	MT-CO1	ENSG00000198804
3	0.0054	MT-CO3	ENSG00000198938
3	0.0054	OBSCN	ENSG00000154358
7	0.0043	SLC25A20	ENSG00000178537
8	0.0041	HSPG2	ENSG00000142798
8	0.0041	CPT2	ENSG00000157184
10	0.0035	HADH	ENSG00000138796
10	0.0035	ACAD9	ENSG00000177646
12	0.0034	NOS1	ENSG00000089250
13	0.0032	LMNA	ENSG00000160789
13	0.0032	HNF1A	ENSG00000135100
15	0.003	ACADVL	ENSG00000072778
16	0.0029	CPT1A	ENSG00000110090
17	0.0027	HMGCL	ENSG00000117305
17	0.0027	KLF15	ENSG00000163884
19	0.0026	BTD	ENSG00000169814
20	0.0025	ACADM	ENSG00000117054
20	0.0025	ISCU	ENSG00000136003
22	0.0024	FDX2	ENSG00000267673
22	0.0024	PHKB	ENSG00000102893
24	0.0023	GFM2	ENSG00000164347
24	0.0023	CACNA1S	ENSG00000081248
24	0.0023	RYR1	ENSG00000196218
24	0.0023	ALDOA	ENSG00000149925
28	0.0022	PFKM	ENSG00000152556
29	0.0021	SOD2	ENSG00000112096
29	0.0021	COX16	ENSG00000133983
31	0.002	SLC4A4	ENSG00000080493
31	0.002	LYRM7	ENSG00000186687
31	0.002	OTC	ENSG00000036473
31	0.002	MPV17	ENSG00000115204
31	0.002	MT-CYB	ENSG00000198727
36	0.0019	HACD2	ENSG00000206527
36	0.0019	MMACHC	ENSG00000132763
36	0.0019	ASS1	ENSG00000130707
36	0.0019	POLG	ENSG00000140521
36	0.0019	POLG2	ENSG00000256525
36	0.0019	RRM2B	ENSG00000048392
36	0.0019	SLC25A4	ENSG00000151729
36	0.0019	TWNK	ENSG00000107815
36	0.0019	SLC22A5	ENSG00000197375
36	0.0019	PYGM	ENSG00000068976
36	0.0019	DES	ENSG00000175084
36	0.0019	FBP1	ENSG00000165140
48	0.0018	ACAT1	ENSG00000075239
48	0.0018	DHTKD1	ENSG00000181192
48	0.0018	MTO1	ENSG00000135297
48	0.0018	BCS1L	ENSG00000074582
52	0.0017	PHKA2	ENSG00000044446
52	0.0017	PHKG2	ENSG00000156873
52	0.0017	PGM1	ENSG00000079739
52	0.0017	ACADS	ENSG00000122971
52	0.0017	SLC12A3	ENSG00000070915
52	0.0017	CA5A	ENSG00000174990
52	0.0017	DMD	ENSG00000198947
52	0.0017	CLCNKB	ENSG00000184908
52	0.0017	MCCC2	ENSG00000131844
52	0.0017	MMUT	ENSG00000146085
52	0.0017	HADHB	ENSG00000138029
63	0.0016	LRPPRC	ENSG00000138095
63	0.0016	CYC1	ENSG00000179091
63	0.0016	AGL	ENSG00000162688
63	0.0016	NAA10	ENSG00000102030
63	0.0016	MMAA	ENSG00000151611
63	0.0016	KCNJ2	ENSG00000123700
