rank	score	gene_symbol	gene_identifier
1	0.0057	FAS	ENSG00000026103
2	0.0047	PLD4	ENSG00000166428
3	0.0046	CARD11	ENSG00000198286
4	0.0044	TNIP1	ENSG00000145901
5	0.0042	PIGM	ENSG00000143315
6	0.0039	CDKN1A	ENSG00000124762
7	0.0036	TRAF3IP2	ENSG00000056972
8	0.0034	NFATC2	ENSG00000101096
9	0.0033	IL6ST	ENSG00000134352
10	0.0032	BIRC3	ENSG00000023445
11	0.0031	MARK2	ENSG00000072518
12	0.003	TANK	ENSG00000136560
12	0.003	ITGAL	ENSG00000005844
14	0.0029	LGALS13	ENSG00000105198
14	0.0029	LGALS14	ENSG00000006659
14	0.0029	LGALS16	ENSG00000249861
14	0.0029	LGALS9	ENSG00000168961
14	0.0029	LGALS9B	ENSG00000170298
14	0.0029	LGALS9C	ENSG00000171916
14	0.0029	IKZF1	ENSG00000185811
21	0.0027	PTPRC	ENSG00000081237
21	0.0027	SPTA1	ENSG00000163554
21	0.0027	BHLHE40	ENSG00000134107
24	0.0026	IL2	ENSG00000109471
24	0.0026	CDKN2B	ENSG00000147883
26	0.0025	PDCD1LG2	ENSG00000197646
27	0.0024	IRF2	ENSG00000168310
28	0.0023	ZBTB46	ENSG00000130584
28	0.0023	PRKDC	ENSG00000253729
30	0.0021	DENND1B	ENSG00000213047
31	0.002	PTEN	ENSG00000171862
32	0.0019	IRF8	ENSG00000140968
32	0.0019	PTPN2	ENSG00000175354
32	0.0019	ZFP14	ENSG00000142065
35	0.0017	CISH	ENSG00000114737
36	0.0016	FASLG	ENSG00000117560
36	0.0016	IL2RA	ENSG00000134460
36	0.0016	CTSL	ENSG00000135047
36	0.0016	CTSV	ENSG00000136943
36	0.0016	CCND1	ENSG00000110092
41	0.0015	RC3H1	ENSG00000135870
41	0.0015	PRKCD	ENSG00000163932
41	0.0015	SMPD1	ENSG00000166311
44	0.0014	CLEC4A	ENSG00000111729
44	0.0014	CLEC4C	ENSG00000198178
46	0.0013	NAA50	ENSG00000121579
46	0.0013	UNG	ENSG00000076248
46	0.0013	RASGRP1	ENSG00000172575
46	0.0013	ZC3H12A	ENSG00000163874
46	0.0013	CD40	ENSG00000101017
46	0.0013	IRF1	ENSG00000125347
52	0.0012	LIPA	ENSG00000107798
52	0.0012	LYN	ENSG00000254087
52	0.0012	REL	ENSG00000162924
52	0.0012	NFE2L2	ENSG00000116044
52	0.0012	VDR	ENSG00000111424
52	0.0012	DEF6	ENSG00000023892
52	0.0012	IRF4	ENSG00000137265
59	0.0011	MYC	ENSG00000136997
59	0.0011	PTPN22	ENSG00000134242
59	0.0011	CD70	ENSG00000125726
59	0.0011	FOXP3	ENSG00000049768
59	0.0011	CD40LG	ENSG00000102245
59	0.0011	LAT	ENSG00000213658
59	0.0011	FCGR2A	ENSG00000143226
59	0.0011	FCGR2B	ENSG00000072694
59	0.0011	FCGR2C	ENSG00000244682
59	0.0011	ITGB2	ENSG00000160255
59	0.0011	GPR132	ENSG00000183484
70	0.001	C9orf72	ENSG00000147894
70	0.001	HR	ENSG00000168453
70	0.001	IL2RB	ENSG00000100385
70	0.001	ADGRG3	ENSG00000182885
70	0.001	CEBPB	ENSG00000172216
70	0.001	RASSF5	ENSG00000136653
70	0.001	FOXO3	ENSG00000118689
70	0.001	FOXO3B	ENSG00000240445
70	0.001	PIGK	ENSG00000142892
70	0.001	MGAT2	ENSG00000168282
70	0.001	POU2AF1	ENSG00000110777
70	0.001	INPP5D	ENSG00000168918
70	0.001	ICOS	ENSG00000163600
70	0.001	CYLD	ENSG00000083799
84	0.0009	BCL2	ENSG00000171791
84	0.0009	ICOSLG	ENSG00000160223
84	0.0009	ZC3H12C	ENSG00000149289
84	0.0009	PRKCH	ENSG00000027075
84	0.0009	ZSCAN10	ENSG00000130182
84	0.0009	NFKBIZ	ENSG00000144802
84	0.0009	CD4	ENSG00000010610
84	0.0009	TNFRSF13B	ENSG00000240505
84	0.0009	NFATC1	ENSG00000131196
84	0.0009	CD19	ENSG00000177455
84	0.0009	IFNG	ENSG00000111537
84	0.0009	NFKB1	ENSG00000109320
84	0.0009	TRIM21	ENSG00000132109
84	0.0009	TPP2	ENSG00000134900
98	0.0008	TLE4	ENSG00000106829
98	0.0008	WDFY3	ENSG00000163625
