rank	score	gene_symbol	gene_identifier
1	0.8602931456557591	PAK3	ENSG00000077264
2	0.8068363275527954	SDHB	ENSG00000117118
3	0.7840220512030792	WDR45	ENSG00000196998
4	0.7472596769332887	CDKL5	ENSG00000008086
5	0.7436769159087538	MECP2	ENSG00000169057
6	0.7219415268219572	SLC25A22	ENSG00000177542
7	0.7162025769903468	SPTAN1	ENSG00000197694
8	0.7086771449429925	FARS2	ENSG00000145982
9	0.7018088856348608	TARDBP	ENSG00000120948
10	0.6964240488014664	MTOR	ENSG00000198793
11	0.6944874774096509	DYRK1A	ENSG00000157540
12	0.6912190685536828	SDHD	ENSG00000204370
13	0.6897733402637367	FOXG1	ENSG00000176165
14	0.680965134936306	PLP1	ENSG00000123560
15	0.677375951231719	CHMP2B	ENSG00000083937
